city,pct,numteams,champ,tooltip,ff,year
Cleveland,0.356,4,0,"['Cleveland Cavaliers 0.524', 'Cleveland Browns 0.333', 'Cleveland Indians 0.423', 'Cleveland Barons 0.356']",0,1978
Wisconsin,0.571,3,0,"['Milwaukee Bucks 0.537', 'Green Bay Packers 0.542', 'Milwaukee Brewers 0.571']",0,1978
Seattle,0.344,3,0,"['Seattle SuperSonics 0.573 Conf./League Finalist', 'Seattle Seahawks 0.5', 'Seattle Mariners 0.344']",0,1978
Dallas,0.534,2,0,"['Dallas Cowboys 0.75 Conf./League Finalist', 'Texas Rangers 0.534']",0,1978
San Francisco,0.546,2,0,"['San Francisco 49ers 0.083', 'San Francisco Giants 0.546']",0,1978
Tampa Bay,0.214,1,0,['Tampa Bay Buccaneers 0.214'],0,1978
Pittsburgh,0.425,3,1,"['Pittsburgh Steelers 0.917 Champions', 'Pittsburgh Pirates 0.54', 'Pittsburgh Penguins 0.425']",1,1978
San Diego,0.515,2,0,"['San Diego Chargers 0.583', 'San Diego Padres 0.515']",0,1978
Miami,0.667,1,0,['Miami Dolphins 0.667'],0,1978
Minneapolis,0.281,3,0,"['Minnesota Vikings 0.625', 'Minnesota Twins 0.448', 'Minnesota North Stars 0.281']",0,1978
Baltimore,0.552,2,0,"['Baltimore Colts 0.25', 'Baltimore Orioles 0.552']",0,1978
St Louis,0.331,3,0,"['St. Louis Cardinals 0.5', 'St. Louis Cardinals 0.423', 'St. Louis Blues 0.331']",0,1978
Cincinnati,0.564,2,0,"['Cincinnati Bengals 0.167', 'Cincinnati Reds 0.564']",0,1978
New York 2,0.694,3,0,"['New York Jets 0.583', 'New York Mets 0.613', 'New York Islanders 0.694']",0,1978
Los Angeles 2,0.534,1,0,['Los Angeles Angels of Anaheim 0.534'],0,1978
Toronto,0.575,2,0,"['Toronto Blue Jays 0.362', 'Toronto Maple Leafs 0.575 Conf./League Finalist']",0,1978
Montreal,0.806,2,1,"['Montreal Expos 0.466', 'Montreal Canadiens 0.806 Champions']",1,1978
Vancouver,0.356,1,0,['Vancouver Canucks 0.356'],0,1978
Chicago,0.456,5,0,"['Chicago Bulls 0.378', 'Chicago Bears 0.667', 'Chicago White Sox 0.451', 'Chicago Cubs 0.451', 'Chicago Black Hawks 0.456']",0,1979
Philadelphia,0.594,4,0,"['Philadelphia 76ers 0.573', 'Philadelphia Eagles 0.75', 'Philadelphia Phillies 0.519', 'Philadelphia Flyers 0.594']",0,1979
Denver,0.263,3,0,"['Denver Nuggets 0.573', 'Denver Broncos 0.583', 'Colorado Rockies 0.263']",0,1979
Indianapolis,0.463,1,0,['Indiana Pacers 0.463'],0,1979
Oakland,0.333,3,0,"['Golden State Warriors 0.463', 'Oakland Raiders 0.417', 'Oakland Athletics 0.333']",0,1979
Phoenix,0.61,1,0,['Phoenix Suns 0.61 Conf./League Finalist'],0,1979
San Diego,0.42,3,0,"['San Diego Clippers 0.524', 'San Diego Chargers 0.75', 'San Diego Padres 0.42']",0,1979
Portland,0.549,1,0,['Portland Trail Blazers 0.549'],0,1979
New York 1,0.569,4,0,"['New York Knicks 0.378', 'New York Giants 0.357', 'New York Yankees 0.549', 'New York Rangers 0.569 Conf./League Finalist']",0,1979
Los Angeles 1,0.5,4,0,"['Los Angeles Lakers 0.573', 'Los Angeles Rams 0.583', 'Los Angeles Dodgers 0.543', 'Los Angeles Kings 0.5']",0,1979
Atlanta,0.563,4,0,"['Atlanta Hawks 0.561', 'Atlanta Falcons 0.417', 'Atlanta Braves 0.407', 'Atlanta Flames 0.563']",0,1979
San Antonio,0.585,1,0,['San Antonio Spurs 0.585 Conf./League Finalist'],0,1979
Kansas City,0.525,3,0,"['Kansas City Kings 0.585', 'Kansas City Chiefs 0.5', 'Kansas City Royals 0.525']",0,1979
Detroit,0.388,4,0,"['Detroit Pistons 0.366', 'Detroit Lions 0.167', 'Detroit Tigers 0.525', 'Detroit Red Wings 0.388']",0,1979
Houston,0.549,3,0,"['Houston Rockets 0.573', 'Houston Oilers 0.75', 'Houston Astros 0.549']",0,1979
New Jersey,0.451,1,0,['New Jersey Nets 0.451'],0,1979
Boston,0.625,4,0,"['Boston Celtics 0.354', 'New England Patriots 0.5', 'Boston Red Sox 0.562', 'Boston Bruins 0.625 Conf./League Finalist']",0,1979
Washington DC,0.394,3,0,"['Washington Bullets 0.659 Conf./League Finalist', 'Washington Redskins 0.667', 'Washington Capitals 0.394']",0,1979
New Orleans,0.667,2,0,"['New Orleans Jazz 0.317', 'New Orleans Saints 0.667']",0,1979
Cleveland,0.5,3,0,"['Cleveland Cavaliers 0.366', 'Cleveland Browns 0.5', 'Cleveland Indians 0.5']",0,1979
Wisconsin,0.586,3,0,"['Milwaukee Bucks 0.463', 'Green Bay Packers 0.333', 'Milwaukee Brewers 0.586']",0,1979
Seattle,0.414,3,1,"['Seattle SuperSonics 0.634 Champions', 'Seattle Seahawks 0.5', 'Seattle Mariners 0.414']",1,1979
Dallas,0.512,2,0,"['Dallas Cowboys 0.833', 'Texas Rangers 0.512']",0,1979
Minneapolis,0.425,3,0,"['Minnesota Vikings 0.5', 'Minnesota Twins 0.506', 'Minnesota North Stars 0.425']",0,1979
San Francisco,0.438,2,0,"['San Francisco 49ers 0.167', 'San Francisco Giants 0.438']",0,1979
Tampa Bay,0.571,1,0,['Tampa Bay Buccaneers 0.571 Conf./League Finalist'],0,1979
Pittsburgh,0.531,3,2,"['Pittsburgh Steelers 0.75 Champions', 'Pittsburgh Pirates 0.605 Champions', 'Pittsburgh Penguins 0.531']",2,1979
Miami,0.5,1,0,['Miami Dolphins 0.5'],0,1979
Buffalo,0.55,2,0,"['Buffalo Bills 0.417', 'Buffalo Sabres 0.55']",0,1979
Baltimore,0.63,2,0,"['Baltimore Colts 0.286', 'Baltimore Orioles 0.63 Conf./League Finalist']",0,1979
St Louis,0.3,3,0,"['St. Louis Cardinals 0.333', 'St. Louis Cardinals 0.531', 'St. Louis Blues 0.3']",0,1979
Cincinnati,0.556,2,0,"['Cincinnati Bengals 0.167', 'Cincinnati Reds 0.556 Conf./League Finalist']",0,1979
New York 2,0.725,3,0,"['New York Jets 0.417', 'New York Mets 0.549', 'New York Islanders 0.725 Conf./League Finalist']",0,1979
Los Angeles 2,0.543,1,0,['Los Angeles Angels of Anaheim 0.543'],0,1979
Toronto,0.506,2,0,"['Toronto Blue Jays 0.327', 'Toronto Maple Leafs 0.506']",0,1979
Montreal,0.719,2,1,"['Montreal Expos 0.586', 'Montreal Canadiens 0.719 Champions']",1,1979
Vancouver,0.394,1,0,['Vancouver Canucks 0.394'],0,1979
Chicago,0.544,5,0,"['Chicago Bulls 0.366', 'Chicago Bears 0.583', 'Chicago White Sox 0.429', 'Chicago Cubs 0.429', 'Chicago Black Hawks 0.544']",0,1980
Portland,0.463,1,0,['Portland Trail Blazers 0.463'],0,1980
Philadelphia,0.725,4,1,"['Philadelphia 76ers 0.72 Conf./League Finalist', 'Philadelphia Eagles 0.75 Conf./League Finalist', 'Philadelphia Phillies 0.558 Champions', 'Philadelphia Flyers 0.725 Conf./League Finalist']",1,1980
Denver,0.319,3,0,"['Denver Nuggets 0.366', 'Denver Broncos 0.417', 'Colorado Rockies 0.319']",0,1980
Indianapolis,0.451,1,0,['Indiana Pacers 0.451'],0,1980
Oakland,0.509,3,1,"['Golden State Warriors 0.293', 'Oakland Raiders 0.75 Champions', 'Oakland Athletics 0.509']",1,1980
Phoenix,0.671,1,0,['Phoenix Suns 0.671'],0,1980
San Diego,0.448,3,0,"['San Diego Clippers 0.427', 'San Diego Chargers 0.75 Conf./League Finalist', 'San Diego Padres 0.448']",0,1980
Utah,0.293,1,0,['Utah Jazz 0.293'],0,1980
Los Angeles 1,0.463,4,1,"['Los Angeles Lakers 0.732 Champions', 'Los Angeles Rams 0.75', 'Los Angeles Dodgers 0.399', 'Los Angeles Kings 0.463']",1,1980
Atlanta,0.519,4,0,"['Atlanta Hawks 0.61', 'Atlanta Falcons 0.833', 'Atlanta Braves 0.497', 'Atlanta Flames 0.519']",0,1980
San Antonio,0.5,1,0,['San Antonio Spurs 0.5'],0,1980
Kansas City,0.595,3,0,"['Kansas City Kings 0.573', 'Kansas City Chiefs 0.429', 'Kansas City Royals 0.595 Conf./League Finalist']",0,1980
Detroit,0.394,4,0,"['Detroit Pistons 0.195', 'Detroit Lions 0.643', 'Detroit Tigers 0.515', 'Detroit Red Wings 0.394']",0,1980
Houston,0.571,3,0,"['Houston Rockets 0.5', 'Houston Oilers 0.583', 'Houston Astros 0.571 Conf./League Finalist']",0,1980
New Jersey,0.415,1,0,['New Jersey Nets 0.415'],0,1980
Boston,0.656,4,0,"['Boston Celtics 0.744 Conf./League Finalist', 'New England Patriots 0.75', 'Boston Red Sox 0.509', 'Boston Bruins 0.656']",0,1980
Washington DC,0.419,3,0,"['Washington Bullets 0.476', 'Washington Redskins 0.417', 'Washington Capitals 0.419']",0,1980
New York 1,0.538,4,0,"['New York Knicks 0.476', 'New York Giants 0.25', 'New York Yankees 0.632 Conf./League Finalist', 'New York Rangers 0.538']",0,1980
Cleveland,0.485,3,0,"['Cleveland Cavaliers 0.451', 'Cleveland Browns 0.667', 'Cleveland Indians 0.485']",0,1980
Wisconsin,0.528,3,0,"['Milwaukee Bucks 0.598', 'Green Bay Packers 0.375', 'Milwaukee Brewers 0.528']",0,1980
Seattle,0.362,3,0,"['Seattle SuperSonics 0.683 Conf./League Finalist', 'Seattle Seahawks 0.25', 'Seattle Mariners 0.362']",0,1980
Dallas,0.466,2,0,"['Dallas Cowboys 0.75 Conf./League Finalist', 'Texas Rangers 0.466']",0,1980
San Francisco,0.46,2,0,"['San Francisco 49ers 0.333', 'San Francisco Giants 0.46']",0,1980
Tampa Bay,0.375,1,0,['Tampa Bay Buccaneers 0.375'],0,1980
Pittsburgh,0.456,3,0,"['Pittsburgh Steelers 0.417', 'Pittsburgh Pirates 0.509', 'Pittsburgh Penguins 0.456']",0,1980
New York 2,0.569,3,1,"['New York Jets 0.25', 'New York Mets 0.632', 'New York Islanders 0.569 Champions']",1,1980
Miami,0.333,1,0,['Miami Dolphins 0.333'],0,1980
Minneapolis,0.55,3,0,"['Minnesota Vikings 0.667', 'Minnesota Twins 0.472', 'Minnesota North Stars 0.55 Conf./League Finalist']",0,1980
Buffalo,0.688,2,0,"['Buffalo Bills 0.667', 'Buffalo Sabres 0.688 Conf./League Finalist']",0,1980
Baltimore,0.613,2,0,"['Baltimore Colts 0.429', 'Baltimore Orioles 0.613']",0,1980
St Louis,0.5,3,0,"['St. Louis Cardinals 0.286', 'St. Louis Cardinals 0.454', 'St. Louis Blues 0.5']",0,1980
Cincinnati,0.546,2,0,"['Cincinnati Bengals 0.333', 'Cincinnati Reds 0.546']",0,1980
New Orleans,0.0,1,0,['New Orleans Saints 0.0'],0,1980
Los Angeles 2,0.399,1,0,['Los Angeles Angels of Anaheim 0.399'],0,1980
Toronto,0.469,2,0,"['Toronto Blue Jays 0.411', 'Toronto Maple Leafs 0.469']",0,1980
Montreal,0.669,2,0,"['Montreal Expos 0.552', 'Montreal Canadiens 0.669']",0,1980
Edmonton,0.431,1,0,['Edmonton Oilers 0.431'],0,1980
Vancouver,0.438,1,0,['Vancouver Canucks 0.438'],0,1980
Quebec,0.381,1,0,['Quebec Nordiques 0.381'],0,1980
Winnipeg,0.319,1,0,['Winnipeg Jets 0.319'],0,1980
Hartford,0.456,1,0,['Hartford Whalers 0.456'],0,1980
Chicago,0.488,5,0,"['Chicago Bulls 0.549', 'Chicago Bears 0.167', 'Chicago White Sox 0.486', 'Chicago Cubs 0.486', 'Chicago Black Hawks 0.488']",0,1981
Utah,0.341,1,0,['Utah Jazz 0.341'],0,1981
Philadelphia,0.606,4,0,"['Philadelphia 76ers 0.756 Conf./League Finalist', 'Philadelphia Eagles 0.583', 'Philadelphia Phillies 0.532', 'Philadelphia Flyers 0.606']",0,1981
Denver,0.356,3,0,"['Denver Nuggets 0.451', 'Denver Broncos 0.583', 'Colorado Rockies 0.356']",0,1981
Dallas,0.514,3,0,"['Dallas Mavericks 0.183', 'Dallas Cowboys 0.667 Conf./League Finalist', 'Texas Rangers 0.514']",0,1981
Indianapolis,0.537,1,0,['Indiana Pacers 0.537'],0,1981
Oakland,0.577,3,0,"['Golden State Warriors 0.476', 'Oakland Raiders 0.417', 'Oakland Athletics 0.577 Conf./League Finalist']",0,1981
Phoenix,0.695,1,0,['Phoenix Suns 0.695'],0,1981
San Diego,0.369,3,0,"['San Diego Clippers 0.439', 'San Diego Chargers 0.667 Conf./League Finalist', 'San Diego Padres 0.369']",0,1981
Portland,0.549,1,0,['Portland Trail Blazers 0.549'],0,1981
Los Angeles 1,0.619,4,1,"['Los Angeles Lakers 0.659', 'Los Angeles Rams 0.417', 'Los Angeles Dodgers 0.459 Champions', 'Los Angeles Kings 0.619']",1,1981
Atlanta,0.45,3,0,"['Atlanta Hawks 0.378', 'Atlanta Falcons 0.5', 'Atlanta Braves 0.45']",0,1981
San Antonio,0.634,1,0,['San Antonio Spurs 0.634'],0,1981
Kansas City,0.45,3,0,"['Kansas City Kings 0.488 Conf./League Finalist', 'Kansas City Chiefs 0.583', 'Kansas City Royals 0.45']",0,1981
Detroit,0.35,4,0,"['Detroit Pistons 0.256', 'Detroit Lions 0.5', 'Detroit Tigers 0.541', 'Detroit Red Wings 0.35']",0,1981
Houston,0.55,3,0,"['Houston Rockets 0.488 Conf./League Finalist', 'Houston Oilers 0.5', 'Houston Astros 0.55']",0,1981
New Jersey,0.293,1,0,['New Jersey Nets 0.293'],0,1981
Boston,0.544,4,1,"['Boston Celtics 0.756 Champions', 'New England Patriots 0.167', 'Boston Red Sox 0.532', 'Boston Bruins 0.544']",1,1981
Washington DC,0.438,3,0,"['Washington Bullets 0.476', 'Washington Redskins 0.5', 'Washington Capitals 0.438']",0,1981
New York 1,0.463,4,0,"['New York Knicks 0.61', 'New York Giants 0.571', 'New York Yankees 0.532 Conf./League Finalist', 'New York Rangers 0.463 Conf./League Finalist']",0,1981
Cleveland,0.468,3,0,"['Cleveland Cavaliers 0.341', 'Cleveland Browns 0.167', 'Cleveland Indians 0.468']",0,1981
Wisconsin,0.559,3,0,"['Milwaukee Bucks 0.732', 'Green Bay Packers 0.5', 'Milwaukee Brewers 0.559']",0,1981
Seattle,0.396,3,0,"['Seattle SuperSonics 0.415', 'Seattle Seahawks 0.429', 'Seattle Mariners 0.396']",0,1981
Minneapolis,0.544,3,0,"['Minnesota Vikings 0.5', 'Minnesota Twins 0.369', 'Minnesota North Stars 0.544 Conf./League Finalist']",0,1981
San Francisco,0.505,2,1,"['San Francisco 49ers 0.833 Champions', 'San Francisco Giants 0.505']",1,1981
Tampa Bay,0.75,1,0,['Tampa Bay Buccaneers 0.75'],0,1981
Pittsburgh,0.456,3,0,"['Pittsburgh Steelers 0.417', 'Pittsburgh Pirates 0.414', 'Pittsburgh Penguins 0.456']",0,1981
New York 2,0.688,3,1,"['New York Jets 0.607', 'New York Mets 0.532', 'New York Islanders 0.688 Champions']",1,1981
Miami,0.708,1,0,['Miami Dolphins 0.708'],0,1981
Buffalo,0.619,2,0,"['Buffalo Bills 0.75', 'Buffalo Sabres 0.619']",0,1981
Baltimore,0.532,2,0,"['Baltimore Colts 0.167', 'Baltimore Orioles 0.532']",0,1981
St Louis,0.669,3,0,"['St. Louis Cardinals 0.333', 'St. Louis Cardinals 0.532', 'St. Louis Blues 0.669']",0,1981
Cincinnati,0.595,2,0,"['Cincinnati Bengals 0.833 Conf./League Finalist', 'Cincinnati Reds 0.595']",0,1981
New Orleans,0.167,1,0,['New Orleans Saints 0.167'],0,1981
Los Angeles 2,0.459,1,0,['Los Angeles Angels of Anaheim 0.459'],0,1981
Toronto,0.444,2,0,"['Toronto Blue Jays 0.333', 'Toronto Maple Leafs 0.444']",0,1981
Montreal,0.644,2,0,"['Montreal Expos 0.541 Conf./League Finalist', 'Montreal Canadiens 0.644']",0,1981
Edmonton,0.463,1,0,['Edmonton Oilers 0.463'],0,1981
Vancouver,0.475,1,0,['Vancouver Canucks 0.475'],0,1981
Quebec,0.488,1,0,['Quebec Nordiques 0.488'],0,1981
Winnipeg,0.2,1,0,['Winnipeg Jets 0.2'],0,1981
Calgary,0.575,1,0,['Calgary Flames 0.575 Conf./League Finalist'],0,1981
Hartford,0.375,1,0,['Hartford Whalers 0.375'],0,1981
Chicago,0.45,5,0,"['Chicago Bulls 0.415', 'Chicago Bears 0.286', 'Chicago White Sox 0.537', 'Chicago Cubs 0.537', 'Chicago Black Hawks 0.45 Conf./League Finalist']",0,1982
Utah,0.305,1,0,['Utah Jazz 0.305'],0,1982
Philadelphia,0.544,4,0,"['Philadelphia 76ers 0.707 Conf./League Finalist', 'Philadelphia Eagles 0.167', 'Philadelphia Phillies 0.549', 'Philadelphia Flyers 0.544']",0,1982
Denver,0.306,3,0,"['Denver Nuggets 0.561', 'Denver Broncos 0.0', 'Colorado Rockies 0.306']",0,1982
Dallas,0.395,3,0,"['Dallas Mavericks 0.341', 'Dallas Cowboys 0.667 Conf./League Finalist', 'Texas Rangers 0.395']",0,1982
Indianapolis,0.427,1,0,['Indiana Pacers 0.427'],0,1982
Oakland,0.42,2,0,"['Golden State Warriors 0.549', 'Oakland Athletics 0.42']",0,1982
Phoenix,0.561,1,0,['Phoenix Suns 0.561'],0,1982
San Diego,0.5,3,0,"['San Diego Clippers 0.207', 'San Diego Chargers 0.625', 'San Diego Padres 0.5']",0,1982
Portland,0.512,1,0,['Portland Trail Blazers 0.512'],0,1982
Los Angeles 1,0.394,4,1,"['Los Angeles Lakers 0.695 Champions', 'Los Angeles Rams 0.167', 'Los Angeles Dodgers 0.574', 'Los Angeles Kings 0.394']",1,1982
Atlanta,0.549,3,0,"['Atlanta Hawks 0.512', 'Atlanta Falcons 0.571', 'Atlanta Braves 0.549 Conf./League Finalist']",0,1982
San Antonio,0.585,1,0,['San Antonio Spurs 0.585 Conf./League Finalist'],0,1982
Kansas City,0.556,3,0,"['Kansas City Kings 0.366', 'Kansas City Chiefs 0.5', 'Kansas City Royals 0.556']",0,1982
Detroit,0.338,4,0,"['Detroit Pistons 0.476', 'Detroit Lions 0.5', 'Detroit Tigers 0.512', 'Detroit Red Wings 0.338']",0,1982
Houston,0.475,3,0,"['Houston Rockets 0.561', 'Houston Oilers 0.167', 'Houston Astros 0.475']",0,1982
New Jersey,0.537,1,0,['New Jersey Nets 0.537'],0,1982
Boston,0.6,4,0,"['Boston Celtics 0.768 Conf./League Finalist', 'New England Patriots 0.625', 'Boston Red Sox 0.549', 'Boston Bruins 0.6']",0,1982
Washington DC,0.406,3,1,"['Washington Bullets 0.524', 'Washington Redskins 0.889 Champions', 'Washington Capitals 0.406']",1,1982
New York 1,0.575,4,0,"['New York Knicks 0.402', 'New York Giants 0.375', 'New York Yankees 0.488', 'New York Rangers 0.575']",0,1982
Cleveland,0.481,3,0,"['Cleveland Cavaliers 0.183', 'Cleveland Browns 0.571', 'Cleveland Indians 0.481']",0,1982
Wisconsin,0.586,3,0,"['Milwaukee Bucks 0.671', 'Green Bay Packers 0.667', 'Milwaukee Brewers 0.586 Conf./League Finalist']",0,1982
Seattle,0.469,3,0,"['Seattle SuperSonics 0.634', 'Seattle Seahawks 0.375', 'Seattle Mariners 0.469']",0,1982
Minneapolis,0.588,3,0,"['Minnesota Vikings 0.8', 'Minnesota Twins 0.37', 'Minnesota North Stars 0.588']",0,1982
San Francisco,0.537,2,0,"['San Francisco 49ers 0.4', 'San Francisco Giants 0.537']",0,1982
Tampa Bay,0.5,1,0,['Tampa Bay Buccaneers 0.5'],0,1982
Pittsburgh,0.469,3,0,"['Pittsburgh Steelers 0.625', 'Pittsburgh Pirates 0.519', 'Pittsburgh Penguins 0.469']",0,1982
New York 2,0.738,3,1,"['New York Jets 0.4 Conf./League Finalist', 'New York Mets 0.488', 'New York Islanders 0.738 Champions']",1,1982
Los Angeles 2,0.574,2,0,"['Los Angeles Raiders 0.833', 'Los Angeles Angels of Anaheim 0.574']",0,1982
Miami,0.857,1,0,['Miami Dolphins 0.857 Conf./League Finalist'],0,1982
Buffalo,0.581,2,0,"['Buffalo Bills 0.5', 'Buffalo Sabres 0.581']",0,1982
Baltimore,0.58,2,0,"['Baltimore Colts 0.0', 'Baltimore Orioles 0.58']",0,1982
St Louis,0.45,3,2,"['St. Louis Cardinals 0.556 Champions', 'St. Louis Cardinals 0.568 Champions', 'St. Louis Blues 0.45']",2,1982
Cincinnati,0.377,2,0,"['Cincinnati Bengals 0.75', 'Cincinnati Reds 0.377']",0,1982
New Orleans,0.375,1,0,['New Orleans Saints 0.375'],0,1982
Toronto,0.35,2,0,"['Toronto Blue Jays 0.481', 'Toronto Maple Leafs 0.35']",0,1982
Montreal,0.681,2,0,"['Montreal Expos 0.531', 'Montreal Canadiens 0.681']",0,1982
Edmonton,0.694,1,0,['Edmonton Oilers 0.694'],0,1982
Winnipeg,0.5,1,0,['Winnipeg Jets 0.5'],0,1982
Vancouver,0.481,1,0,['Vancouver Canucks 0.481 Conf./League Finalist'],0,1982
Quebec,0.513,1,0,['Quebec Nordiques 0.513 Conf./League Finalist'],0,1982
Calgary,0.469,1,0,['Calgary Flames 0.469'],0,1982
Hartford,0.375,1,0,['Hartford Whalers 0.375'],0,1982
Chicago,0.65,5,0,"['Chicago Bulls 0.341', 'Chicago Bears 0.5', 'Chicago White Sox 0.611 Conf./League Finalist', 'Chicago Cubs 0.611', 'Chicago Black Hawks 0.65 Conf./League Finalist']",0,1983
Utah,0.366,1,0,['Utah Jazz 0.366'],0,1983
Philadelphia,0.663,4,1,"['Philadelphia 76ers 0.793 Champions', 'Philadelphia Eagles 0.286', 'Philadelphia Phillies 0.556 Conf./League Finalist', 'Philadelphia Flyers 0.663']",1,1983
Denver,0.643,2,0,"['Denver Nuggets 0.549', 'Denver Broncos 0.643']",0,1983
Dallas,0.475,3,0,"['Dallas Mavericks 0.463', 'Dallas Cowboys 0.833', 'Texas Rangers 0.475']",0,1983
Indianapolis,0.244,1,0,['Indiana Pacers 0.244'],0,1983
Oakland,0.457,2,0,"['Golden State Warriors 0.366', 'Oakland Athletics 0.457']",0,1983
Phoenix,0.646,1,0,['Phoenix Suns 0.646'],0,1983
San Diego,0.5,3,0,"['San Diego Clippers 0.305', 'San Diego Chargers 0.333', 'San Diego Padres 0.5']",0,1983
Portland,0.561,1,0,['Portland Trail Blazers 0.561'],0,1983
Los Angeles 1,0.413,4,0,"['Los Angeles Lakers 0.707 Conf./League Finalist', 'Los Angeles Rams 0.667', 'Los Angeles Dodgers 0.432 Conf./League Finalist', 'Los Angeles Kings 0.413']",0,1983
Atlanta,0.543,3,0,"['Atlanta Hawks 0.524', 'Atlanta Falcons 0.333', 'Atlanta Braves 0.543']",0,1983
San Antonio,0.646,1,0,['San Antonio Spurs 0.646 Conf./League Finalist'],0,1983
Kansas City,0.488,3,0,"['Kansas City Kings 0.549', 'Kansas City Chiefs 0.333', 'Kansas City Royals 0.488']",0,1983
Detroit,0.356,4,0,"['Detroit Pistons 0.451', 'Detroit Lions 0.667', 'Detroit Tigers 0.568', 'Detroit Red Wings 0.356']",0,1983
Houston,0.525,3,0,"['Houston Rockets 0.171', 'Houston Oilers 0.083', 'Houston Astros 0.525']",0,1983
New Jersey,0.3,2,0,"['New Jersey Nets 0.598', 'New Jersey Devils 0.3']",0,1983
Boston,0.688,4,0,"['Boston Celtics 0.683', 'New England Patriots 0.5', 'Boston Red Sox 0.481', 'Boston Bruins 0.688 Conf./League Finalist']",0,1983
Washington DC,0.588,3,0,"['Washington Bullets 0.512', 'Washington Redskins 0.833 Conf./League Finalist', 'Washington Capitals 0.588']",0,1983
New York 1,0.5,4,0,"['New York Knicks 0.537', 'New York Giants 0.292', 'New York Yankees 0.562', 'New York Rangers 0.5']",0,1983
Cleveland,0.432,3,0,"['Cleveland Cavaliers 0.28', 'Cleveland Browns 0.583', 'Cleveland Indians 0.432']",0,1983
Wisconsin,0.537,3,0,"['Milwaukee Bucks 0.622 Conf./League Finalist', 'Green Bay Packers 0.5', 'Milwaukee Brewers 0.537']",0,1983
Seattle,0.37,3,0,"['Seattle SuperSonics 0.585', 'Seattle Seahawks 0.667', 'Seattle Mariners 0.37']",0,1983
Minneapolis,0.6,3,0,"['Minnesota Vikings 0.333', 'Minnesota Twins 0.432', 'Minnesota North Stars 0.6']",0,1983
San Francisco,0.488,2,0,"['San Francisco 49ers 0.667 Conf./League Finalist', 'San Francisco Giants 0.488']",0,1983
Tampa Bay,0.083,1,0,['Tampa Bay Buccaneers 0.083'],0,1983
Pittsburgh,0.281,3,0,"['Pittsburgh Steelers 0.667', 'Pittsburgh Pirates 0.519', 'Pittsburgh Penguins 0.281']",0,1983
New York 2,0.6,3,1,"['New York Jets 0.333', 'New York Mets 0.562', 'New York Islanders 0.6 Champions']",1,1983
Los Angeles 2,0.432,2,1,"['Los Angeles Raiders 0.833 Champions', 'Los Angeles Angels of Anaheim 0.432']",1,1983
Miami,0.75,1,0,['Miami Dolphins 0.75'],0,1983
Buffalo,0.556,2,0,"['Buffalo Bills 0.583', 'Buffalo Sabres 0.556']",0,1983
Baltimore,0.605,2,1,"['Baltimore Colts 0.357', 'Baltimore Orioles 0.605 Champions']",1,1983
St Louis,0.406,3,0,"['St. Louis Cardinals 0.458', 'St. Louis Cardinals 0.488', 'St. Louis Blues 0.406']",0,1983
Cincinnati,0.457,2,0,"['Cincinnati Bengals 0.333', 'Cincinnati Reds 0.457']",0,1983
New Orleans,0.583,1,0,['New Orleans Saints 0.583'],0,1983
Toronto,0.425,2,0,"['Toronto Blue Jays 0.549', 'Toronto Maple Leafs 0.425']",0,1983
Montreal,0.613,2,0,"['Montreal Expos 0.506', 'Montreal Canadiens 0.613']",0,1983
Edmonton,0.663,1,0,['Edmonton Oilers 0.663 Conf./League Finalist'],0,1983
Winnipeg,0.463,1,0,['Winnipeg Jets 0.463'],0,1983
Vancouver,0.469,1,0,['Vancouver Canucks 0.469'],0,1983
Quebec,0.5,1,0,['Quebec Nordiques 0.5'],0,1983
Calgary,0.488,1,0,['Calgary Flames 0.488'],0,1983
Hartford,0.281,1,0,['Hartford Whalers 0.281'],0,1983
Chicago,0.425,5,0,"['Chicago Bulls 0.329', 'Chicago Bears 0.667 Conf./League Finalist', 'Chicago White Sox 0.457', 'Chicago Cubs 0.457 Conf./League Finalist', 'Chicago Black Hawks 0.425']",0,1984
Utah,0.549,1,0,['Utah Jazz 0.549'],0,1984
Philadelphia,0.613,4,0,"['Philadelphia 76ers 0.634', 'Philadelphia Eagles 0.292', 'Philadelphia Phillies 0.5', 'Philadelphia Flyers 0.613']",0,1984
Denver,0.833,2,0,"['Denver Nuggets 0.463', 'Denver Broncos 0.833']",0,1984
Dallas,0.426,3,0,"['Dallas Mavericks 0.524', 'Dallas Cowboys 0.583', 'Texas Rangers 0.426']",0,1984
Indianapolis,0.333,2,0,"['Indiana Pacers 0.317', 'Indianapolis Colts 0.333']",0,1984
Oakland,0.475,2,0,"['Golden State Warriors 0.451', 'Oakland Athletics 0.475']",0,1984
Phoenix,0.5,1,0,['Phoenix Suns 0.5 Conf./League Finalist'],0,1984
San Diego,0.568,3,0,"['San Diego Clippers 0.366', 'San Diego Chargers 0.25', 'San Diego Padres 0.568 Conf./League Finalist']",0,1984
Portland,0.585,1,0,['Portland Trail Blazers 0.585'],0,1984
Los Angeles 1,0.369,4,0,"['Los Angeles Lakers 0.659 Conf./League Finalist', 'Los Angeles Rams 0.583', 'Los Angeles Dodgers 0.5', 'Los Angeles Kings 0.369']",0,1984
Atlanta,0.494,3,0,"['Atlanta Hawks 0.488', 'Atlanta Falcons 0.25', 'Atlanta Braves 0.494']",0,1984
